pid,uid,parent_text,misinfo
_1243503552678551553,_3312898348,Can COVID-19 be prevented by the use of antibiotics? #Kang4Nature #YouthAgainstCorona,0
_1234923025881092096,_3145330534,"Just got a flu diagnosis from doctor in which he said: “I’d test you for Coronavirus bc you have all symptoms, but we do not have the tests in Mississippi. Therefore, you have the flu.” Flu test negative. He ssnt me home w antibiotics. #CoronavirusOutbreak",0
_1243810398077210624,_1190838529707802625,"As My opinion on Pandemic (Coronavirus) treatment, in antibiotics, Levofloxacin is Effective!",1
_1222604928620867586,_1139923023140741120,"just heard a conversation between 2 people that corona is the worst virus ever, no antibiotics can cure it. man idk if I should cry or what",0
_1242276387056242689,_730388782663368704,"Hello, good night, according to what I read on CNN news. Tomorrow in New York an antibiotic will be launched, a possible cure against Coronavirus. How effective is this medicine in the United States? someone who has information on this topic",1
_1233597906021683202,_15438913,Scientists claim antibiotics already on market can treat coronavirus,1
_1235554702181502977,_530895731,"As someone who suffered from an antibiotic resistant superbug for 6 months in 2017, I would like to tell the conservatives to stop spreading misinformation about this fecking hand sanitizer. It does not, kill the Coronavirus. Ffs",0
_1233430947523108864,_2573384209,The scientist shld release the antibiotics for de #coronavirusus because half of the world population is going down,1
_1235709565251051521,_2226615308,"So, now we are told that if you have a fever and are ill to self quarantine for 14 days. Ok, so if you have a treatable disease you should risk letting it get worse without antibiotics? You are also advised to call a head to the doctor who can’t even tests for #coronavirus 🤔",0
_1242183550549372928,_975239623575191552,Antibiotics kills respiratory infections which is what Covid-19 can cause.,2
_1244682479732166657,_39186652,"I got a video in my email this morning from a friend. She was sent this from a “doctor” who is a christian doctor working with Trump, claiming to have 2 antibiotic “cures” for #COVID19. Im so angry by the false hope being spread around because of Trump",0
_1240356874706391055,_2156160070,#JKLIVE Do we have antibiotics for corona? Or the ones who have it are given survival medicines. How long can one live with the virus and how long can a sick person take to recover fully when on antibiotics?,0
_1243971198234644480,_25333540,"Yeah they can charge for flu swab, the CoronaVirus test spouse to be free. Sent me on my way with antibiotics? I am to self isolate and they will call with flu results",0
_1221440124912713730,_913039583582986240,"The appropriate antibiotics therapy, similar to the one used against plague pneumonia is effective against #WuhanPneumonia #coronavirus. PLUS tetracycline, the drug of choice for plague prophylaxis, is also effective for #WuhanCoronavirus prophylaxis.",2
_1237125285776109573,_185740795,Can somebody tell us exactly what happens when a corona patient needs to be hospitalized? Is the patient put on antibiotics? How are the lungs treated? Yes we need details please. Anyone?,0
_1238791497845223424,_581068730,"do people who have not taken antibiotics often if at all , throughout their lives have a better chance fighting corona and presenting with less symptoms?",0
_1236435586627428352,_1084872623538855939,When left untreated. Modern antibiotics deal with it just fine. You said it attacks the heart which is false. If coronavirus was attacking peoples hearts the death toll would be higher.,1
