id,uid,text,misinfo
_1244565037932560384,_524266810,"Pakistani COVID-19 patient says happy to get new life : Referring to his treatment, he said doctors prescribed antibiotics and paracetamol with some injections to control his temperature.",1
_1241456655377862656,_59502546,"Now, THIS sounds promising. Antimalarial PLUS an antibiotic. A broader spectrum! Keep pushing, Mr. President. WE never doubted your commitment to finding an answer to this CHINESE COVID 19. (BITE ME, MSM! It is what it is! Call me a racist all you want. I will NOT be kowed!) …",0
_1237862173432377347,_2988409440,"India, the world’s main supplier of generic drugs, has restricted the export of 26 pharmaceutical ingredients & the meds made from them, including Paracetamol and several other antibiotics as Coronavirus is been declared a Pandemic... Brace yourself.",0
_1243623579675222019,_15738935,"Patients with viral lung infections, like the flu and #COVID19, are especially vulnerable to dangerous #antibiotic resistant infections.",0
_1223329173059575808,_1184322560,Imma be real witchu chief the likelihood of a coronavirus counterpart is just as likely if not more so in the US than anywhere else. We’re literally manufacturing antibiotic resistant monstrosities. China’s the least of the problem,0
_1238114613864120324,_1068963084100952065,"I should probably be more worried about the corona virus then I am right now, considering I have a very small immune system due to constant antibiotics and kidney infections, but I’m not and that worries me",0
_1238664576662753281,_725487967645650944,#اجلاء_طلبه_بريطانيا #ukcoronavirus In the UK schools are still working and no masks in the markets no hand gells antibiotic. So all students when they back to our country are expected to be positive to corona. They should be isolated to control disease in our country,0
_1240759448156733440,_1018533252108341248,French study finds anti-malarial and antibiotic combo could reduce COVID-19 duration …,0
_1235020093215707136,_743141092615393280,"This #coronavirus is spreading fast. Now, I don't feel bad for having to stay home all the time. I feel sick (nothing new) but I'm hoping w some OTC meds, drinking fluids, rest & staying warm, I can avoid antibiotics or going to the hospital. Hospitals aren't safe either #COVID19",0
_1240625838736973827,_1446195235,#MythBusters Are antibiotics effective in preventing and treating the new coronavirus? #StopTheSpread,0
_1238586107949748224,_321688338,I keep seeing tweets like worried about corona? WORRY ABOUT THAT STD 1. This shows how ignorant a lot of you are on BOTH 2. MOST stds are easily controlled with antibiotics or medication 3. STOP shaming people or stigmatizing STD’s,0
_1236441548788768775,_924452929918132224,"CHINA’S CORONAVIRUS IS DESTROYING THE WORLD ONE COUNTRY AT THE TIME. HERE IN THE USA WE DON’T MANUFACTURE ANYMORE ANTIBIOTICS, 95% OF THE ANTIBIOTICS ARE MADE IN CHINA. OUR STOCK MARKET IS DOWN, WE ARE PUTTING TRILLIONS OF DOLLARS INTO THIS MESS AND GETTING NOWHERE SO FAR.",0
_1229319571758141440,_64643056,"An official committee recommends to place export ban on 12 drugs, mainly #antibiotics, #vitamins and #hormones #coronavirus",0
_1234268895432912897,_2487265137,Still can’t get over the fact that this week my cat died I had a reaction to antibiotics was sick in public scared I had coronavirus and was then sent to the hospital and missed seeing loving life rn 🥺,0
_1241929758943973376,_1007289243436306432,"Theory: I was sick all Nov‘19-Jan‘20. My symptoms were fever, cough & shortness of breath. I was tested for the flu, strep, you name it. I was treated with amoxicillin, Levaquin (super strong antibiotic), and multiple steroid and Rocephin shots. WHAT DID I HAVE?? The CORONAVIRUS",1
_1223262690514046978,_536152608,water therapy green tea vitamin c Drinking these religiously while taking my antibiotics and the news about the novel coronavirus. Take good care of your body folks #GodBless,0
_1238369411523686400,_972385087793741824,My mom just sent me antibiotics from TJ the coronavirus don’t got shit on ME 🥱,1
_1232862784905531392,_708838526121484288,"Treatment for Flu and Coronavirus: Neither virus is treatable with antibiotics, which only work on bacterial infections. Both may be treated by addressing symptoms, such as reducing fever. Severe cases may require hospitalization and support such as mechanical ventilation.",0
_1240992456507895808,_451436822,"Thread by : I’m a #nurse, and I just tested positive for #COVID19 ....but let me tell you how I got here: [ A THREAD ] #coronavirus Datarted having some body aches/fever and a dry cough- called my doctor got some antibiotics called in. I figured i… …",0
_1238097534079426562,_1218282094213967875,"Yes, in Japan. A lady was diagnosed with Covid-19, was treated, recovered, tested negative and released. She became ill again, tested positive with Covid-19. Was it a re-transmission or had the decease gone dormant with the antibiotics? #COVID19 …",4
_1224564997998596096,_289798661,"Q: Are #antibiotics effective in preventing and treating the new #coronavirus? A: No, antibiotics do not work against viruses, only bacteria. The 2019-nC0V is a #virus and, therefore, antibiotics should not be used as a means of prevention or treatment.",0
_1222933418230583296,_1220915642917892097,"For those asking the question: Why don't antibiotics work on the 2019-nCoV coronavirus? Antibiotics don't work on viruses. Only antivirals do, but antivirals are difficult to develop. Bacteria and viruses have different structures and behaviors that I will elaborate on below",0
_1235220008025886725,_1224444683742601216,Virus = supportive care Bacteria = antibiotic Quit looking for solutions. Stay hydrated. Wash your hands. Vitamin C. Cover your cough. Wash your hands again. #COVID2019 #coronavirus,0
_1238780977633206273,_475244301,My mum has had a chest infection for two weeks. Been treated with steroids and antibiotics. Phoned her GP concerned it was Coronavirus. GP told to pick up another prescription for steroids and they won’t test her but go to a hospital if she gets worse. Cannot believe it #coronaUK,0
_1241591758154162179,_1188888318265552896,"In India, Azithromycin is commonly used for severe throat infection. Its an anti-biotic medicine whereas corona is a virus. Azithromycin stops rna to protein conversion of bacteria but corona virus use our own cellular system so its impossible to treat with antibiotic i think so! …",0
_1242392904515178496,_4782325766,"Just when I seemed to be improving, all the symptoms return and boom, GP isolates me for a further 7 days. If no improvement at end of antibiotics, only then will they test me for Covid 19! (If I'm still alive lol) #LifeWithoutIncome :(",0
_1237305488607522816,_123296518,Phoned the drs for Jenna straight away they told me that if she’s able to go to the surgery they will phone me back at this morning - I understand coronavirus is serious but at the same time my 2 year old needs some antibiotics please and im pretty certain she doesn’t have it,0
_1240112476630519810,_3193692450,also I have to be on antibiotics for another lung infection and I have to get a heart monitor because my heart sucks AND my doctor recommended I try and get tested for COVID-19 so yeah I’d say 2020 sucks,0
_1241450919159463937,_144054572,"Just a reminder to my Myasthenia Gravis friends, the anti-malaria drug starting to be used to help COVID-19 is not safe for us, as well as many antibiotics …",0
_1237439975190380546,_1444989344,"""people who go into intensive care with coronavirus are principally given help for pneumonia... and therefore you need to give their body time to recover from the pneumonia because this isn't about bacteria, you can't give it antibiotics."" …",0
_1238949895572197376,_149645461,"Meanwhile in UK: At present only treatment for #Coronavirus is supportive. No “antibiotics”, No benefit in “treating it early” No benefit seeing doctor/nurse unless you are hypoxic. Please let us focus on treating those whom we can actually help, not explaining why we can’t.",0
_1242220189959290882,_711863012,Do you know what I would do if a doctor recommended a Z-Pack to cure a virus? Get up. Walk out. Notify the medical board. Antibiotics DO NOT work on viruses and can cause problems with the effectiveness of antibiotics. #TrumpLiedPeopleDied #COVID19,0
_1240731124751532032,_878637636054810624,The French study found that chloroquine was even more effective against COVID19 when combined with the antibiotic azithromycin How EFFECTIVE? VERY VERY EFFECTIVE …,0
_1244245578336407553,_291425787,So WhatsApp users are now #COVID19 doctors abi? Pesin go record video telling us “Na cure” when we know say na google dey teach am how to create Antibiotics,0
_1244213799361613824,_1214068098849882114,"Swiss Woman, 95, Treated With Antibiotics And Chloroquine Back Home After Surviving Coronavirus …",1
_1244785725318533122,_37699177,2 different Antibiotics completely irradicated Covid 19 in all its Patients. Thx France for the payback. God Bless You. Hope it's True x,1
_1239582358795358209,_10458132,PSA - people are sick with other things that aren’t corona virus right now. That impact means people cannot get appointments at doctors that they ordinarily would. Got tonsillitis/strep throat/any other viral infection that a course of antibiotics would cure? Sucks to be you!,0
_1240196677547388928,_967808520,Many people fronting lorengau outpatients with covid19 symptoms. Sore throats flu like symptoms and breathing problems. Being given a shot of antibiotics a handful of panadol and amox and told to go home. I hope it's not the actual bug,0
_1238149734277083136,_1155981809378721793,People should also be educated about Antibiotic Resistance and it should be given more attention (maybe after covid-19) because AR can be a really great threat in the future uwu,0
_1239664011106549767,_1055664335735939073,"Incredibly frustrated. My PCP insisted I come in for a follow-up. Last week I came in with COVID19 symptoms, tested negative for flu, clean chest x-ray, etc. Today she insisted I come in because the antibiotics she put me on in case it was bacterial have done nothing. (1/?)",0
_1237850437878837253,_15702236,"The symptoms of #coronavirus? The virus can cause pneumonia. Those who have fallen ill are reported to suffer coughs, fever and breathing difficulties. In severe cases there can be organ failure. As this is viral pneumonia, antibiotics are of no use.",0
_1244135853238222848,_1812179905,"normal flu is bacterial, treat w/ antibiotics and it diseases parts of the lungs and may cause pneumonia. Corona is virus, may disease the entire lungs and the pneumonia can be much worse. have read that most cases are mild to medium. Its a nasty ass flu …",1
_1241724318905581569,_2417586104,You really are a stupid bastard aren’t you? Hundreds of Coronavirus deaths have been documented as a result of SECONDARY bacterial infection in those weakened by the primary virus. That’s why the dual treatment of antibiotic Azithtomycin AND hydroxychloroquine is so promising. …,0
_1237106146722197506,_4831064399,"Low supplies & antibiotics 4 industrial farming to keep our animals ""disease free"" for consumption what is in your meat? #coronavirus #CoronavirusOutbreak #Coronavid19 #CoronaVirusSeattle #CoronaVirusChallenge #COVIDー19 #Covid19usa …",0
_1224279150770388992,_2435380381,Read More: #Newsonepk #coronavirus #WHO #Pakistan #antibiotics,0
_1238095523711770627,_41608523,"Sick leave extended for one more week, got prescribed antibiotics bc my symptoms started taking a dangerous turn(bronchitis again?????? NO FUCKING THANKS) Also, school closed down for 2 weeks bc of corona.",0
_1242465941725700097,_29682159,Antibiotic resistance: the hidden threat lurking behind Covid-19 … via,0
_1236783814711664642,_236506960,#Coronavirus #facts from the #WHO Coronavirus can cause a form of Viral #Pneumonia that can’t be treated by antibiotics. In severe cases it can cause kidney failure. The fatality rate is about 2% (double the 1% fatality rate of the flu). …,0
_1239748528794148865,_161504360,"Im not convinced this corona virus shit is as serious as they making it out to be... I currently have pneumonia, just got sent home from work with antibiotics.. I was given a ""test,"" for the Rona, and it was negative. Have yet to see any families interviewed of loved ones lost..",0
_1237758183269113856,_2664915685,Mr. Bentley believes he contracted Covid19 singing in a church choir of 100 people...how many others have been tested? He was first sent home for 4 days since he hadn't been out of the country. Question: antibiotics for viral pneumonia? …,0
_1234276539916849153,_177759392,All the #Coronavirus discussion is about quarantine and containment. Ok. That is good but what is being done about treating people who catch it? Do antibiotics work?,0
_1238285310548738049,_1186279384853946368,Reviewing #COVID19 and discussing #antibiotics today...keep an eye out for our new episodes to drop!,0
