id,uid,text
_1219647575596380162,_16887175,Killer coronavirus attacks the body with pneumonia - and antibiotics don't work …
_1219667723761979392,_16887175,Killer coronavirus attacks the body with pneumonia - and antibiotics don't work …
_1219682823063261190,_16887175,Killer coronavirus attacks the body with pneumonia - and antibiotics don't work …
_1219697922356457472,_16887175,Killer coronavirus attacks the body with pneumonia - and antibiotics don't work …
_1219777869578227712,_879388615,"Coronavirus sounds like something you get from a frat party. Don’t worry, it’s treatable with antibiotics and salve."
_1220262307193688064,_995775377275478016,"Coronavirus: A flu-like virus which can mutate and be resistant to antibiotics, leading to pneumonia and possible death. Koranovirus: A religious text intended to infect the brain , which can lead to madness and possibly Paradise."
_1220466636425170944,_38117685,"Animal agriculture is not only linked to novel disease outbreaks (like the coronavirus) but to antibiotic resistance as well. Please consider reducing your intake, it is good for everyone's health. …"
_1220828960633819146,_28768235,"There are seven variations of corona virus of which three are very serious. There is no antibiotic treatment, but early supportive treatment with cold remedies decreases mortality. Cold symptoms should be treated early. The mortality rate could be as high as 30%..."
_1221800661039419398,_14499829,"Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)? A: No, antibiotics do not work against viruses, only bacteria. The 2019-nC0V is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment."
_1222314426268708866,_3311651460,"Oh,well make sure you take your antibiotics and wear a mask. Christian TV host: God sent the coronavirus to punish ‘the vile and disgusting people in this country’ – DeadState …"
_1222998271389552640,_992683410664632320,"With declaring a public health emergency of international concern over the global outbreak of #2019nCoV, remember antibiotics are not effective in preventing and treating viruses including the coronavirus."
_1224073272028991489,_215207998,"1. Im already seeing ""I know more than the "" nonsense being pumped out on twitter. (All by Americans, most by people whose ID has Trump praise.) Antibiotics do not work on pneumonia caused by virus. Pneumonia caused by coronavirus is a viral pneumonia. Do NOT stockpile..."
_1224091918709207040,_737362108397060096,"Be aware of #CoronaVirusFacts Q: Are antibiotics effective in preventing and treating new #coronavirus? A: No, antibiotics do not work against viruses, only bacteria. #2019_nCov is a virus and, therefore, #antibiotics should not be used as a means of prevention or treatment."
_1224440560166920192,_48110818,"Antibiotic resistance scares me more than the coronavirus, and what are we doing to fight it? -- New study finds 'no clear rationale’ for 45% of Medicaid patients’ antibiotic prescriptions. …"
_1224615684262580225,_2758766167,"The Sun shines a light on the #Coronavirus – and how #antibiotics won't work in curing it, or a cold! Go to"
_1226023145368244230,_749102436,Coronavirus: 97%!! of all US antibiotics come from China. China's industry and exports grinding to a halt. Is Australia's health system just as exposed as the US? via
_1226107236851666944,_749102436,"80% of ingredients for pharmaceuticals & 97% of all antibiotics consumed in the US are sourced from CHINA, whose factories & supply chains are shutting down. The US was already experiencing drug shortages before #coronavirus Is Australia equally exposed? …"
_1226172307904892928,_901703629,"This video debunks 6 dangerous myths about the coronavirus. Some of those myths are: - ""You can catch it from pets"" - ""Antibiotics are an effective treatment"" - ""Eating garlic could help"" - ""Only old people are at risk"" It also tells what can you do to prevent being infected."
_1226846285673586688,_87775422,#FactCheck Are antibiotics effective in preventing and treating the new #coronavirus?
_1226848419559485442,_3059457425,#FactCheck Are antibiotics effective in preventing and treating the new #coronavirus?
_1227068632657616896,_995775377275478016,97% of all antibiotics come from China *Dept of commerce study #coronavirus
_1227195191725056002,_586825252,"Liver Breath Larry has just announced he's upping his Corona intake as an antibiotic for #Cornavirus ""No luv just put your hand over your Feckin mouth."" #Publandladythoughtoftheday #herandthechangeinme"
_1228142612986638338,_738177614947356674,"Coronavirus Exposes China‘s Monopoly on U.S. Drug, Medical Supplies China's grip on US healthcare: 97% of all antibiotics 80% of active pharma ingredients via"
_1228363067056107525,_44540580,"Coronavirus Exposes China's Monopoly on U.S. Drug, Medical Supplies ... ... 80% of USA Antibiotic Supplies come from China ⁦⁩ …"
_1228368313509527552,_803017539903029248,"#China #Dependence #Globalism #Pharmaceuticals Coronavirus Outbreak Exposes China’s stranglehold / Monopoly on U.S. Drug Supplies China produces ~ 97 percent of all antibiotics and > 80 percent of Penicillin, ibuprofen, and aspirin …"
_1228373673238769673,_46934022,"WOW! Coronavirus outbreak has exposed the US dangerous dependence on China for pharmaceutical & medical supplies, including an estimated 97% of all antibiotics and 80% of the active pharmaceutical ingredients needed to produce drugs in the US."
_1228511372696309761,_19850687,"URGENT PROBLEM: Coronavirus Outbreak Exposes China’s Monopoly on U.S. Drug, Medical Supplies *97% of all antibiotics and 80% of the active ingredients used to make drugs come from China. TAX CODE NEEDS TO INCENTIVIZE ENDING THIS via"
_1228672828481908737,_25053299,From apple juice to antibiotics: Coronavirus epidemic could cause U.S. shortages
_1228831431075549184,_25053299,From apple juice to antibiotics: Coronavirus epidemic could cause U.S. shortages
_1229096561428353025,_3507100335,"China is responsible for an estimated 97% of all antibiotics and 80% of the active pharmaceutical ingredients needed to produce drugs in the United States. This needs to stop!! Coronavirus Exposes China's Monopoly on U.S. Drug, Medical Supplies …"
_1229127088222932992,_2890676769,From apple juice to antibiotics: Coronavirus epidemic could cause U.S. shortages – Fortune …
_1229239092992409602,_25053299,From apple juice to antibiotics: Coronavirus epidemic could cause U.S. shortages
_1229319571758141440,_64643056,"An official committee recommends to place export ban on 12 drugs, mainly #antibiotics, #vitamins and #hormones #coronavirus"
_1229424973539770369,_28023025,"Turns out #superbugs was just the beginning. We are about to face the consequences of our over-reliance on foreign drugmaking, including components of #antibiotics, with #supplychain shortages due to #COVID19 as writes in her #book #BottleofLies. …"
_1229548001640820737,_66146530,Coronavirus or antibiotic resistance: Our appetite for animals (wild and domestic) poses big disease risks - Bulletin of the Atomic Scientists … via
_1229563713302269958,_25053299,From apple juice to antibiotics: Coronavirus epidemic could cause U.S. shortages
_1229565075750563841,_3059457425,From apple juice to antibiotics: Coronavirus epidemic could cause U.S. shortages
_1229604987514294273,_19489239,"The world could face a shortage of #antibiotics supply problems posed by the #coronavirus outbreak can't be resolved, a European business group has warned. …"
_1229611750489763840,_22240612,"The world could face a shortage of antibiotics if the pharmaceutical industry’s supply problems posed by the #coronavirus outbreak in China cannot soon be resolved, the head of a European business group in China warns. …"
_1229774619630022656,_2884771,How is Coronavirus treated? Japan to start HIV antiviral drug trials as WHO warns antibiotics and alternative treatments won't work …
_1229850162861723648,_382886484,How is Coronavirus treated? Japan to start HIV antiviral drug trials as WHO warns antibiotics and alternative treatments won't work …
_1230099713354940416,_384787749,"'World’s pharmacies may face shortage of antibiotics & other drugs if supply problems from China’s coronavirus outbreak can't be resolved, an EU business group has warned' #StopSuperbugs"
_1231628136728670210,_2352629311,It’s time for Senate hearings to find out how we allowed our critical medical supply chains for antibiotics & other vital drugs to become so dependent on #China & threatened now by #coronavirus …
_1231791203210924032,_269858714,"In the right hands with the right rules, could artificial intelligence help cure many kinds of disease more quickly and with less cost? Will a #CoronaVirus vaccine be next? AI creates new antibiotic. … RT #ArtificialIntelligence #Medicine"
_1231848084172238848,_487118986,"Are hand dryers, antibiotics effective in killing novel #coronavirus? Hear what #WHO says #RumorBuster"
_1232046161520816128,_825127717418864640,AI system discovers powerful new antibiotic to tackle superbugs #KAG #coronaVirus …
_1232428887214346241,_4660013206,Scary As Hell And 80% of our Antibiotics/Drugs are from China! CDC Warns of Coronavirus Spread in USA: ‘Disruption to Everyday Life Might Be Severe’ via
_1232713553871654912,_3267456386,"Senator Josh on Combatting Coronavirus ""I'm introducing legislation today that will help bring our medical supply chains back out of China here to the United States. My big concern is when it comes to our vaccines and our antibiotics too many of them are in China."""
_1232762967248252935,_479724576,Capitalism makes us vulnerable to global pandemics like coronavirus. High medical costs under our private health care system keep people away from doctors and foster antibiotic rationing while wage stagnation and our gig economy keep people going into work when they're sick.
_1232862784905531392,_708838526121484288,"Treatment for Flu and Coronavirus: Neither virus is treatable with antibiotics, which only work on bacterial infections. Both may be treated by addressing symptoms, such as reducing fever. Severe cases may require hospitalization and support such as mechanical ventilation."
_1232952513650929664,_2758766167,"From Bloomberg: “The prospect of a #coronavirus pandemic will strain the pipeline for #antibiotics, a network that’s heavily reliant on components from #China and already beset by bankruptcies” …"
_1233033351893782529,_2352629311,My legislation will help secure our medical supply chains amid this #coronavirus outbreak. Too many of our vital antibiotics & other drugs are made in #China & facing shortfalls …
_1233076433758539776,_749686190,"#BREAKING: Sen. Josh Hawley (R-MO) says he will introduce legislation to help secure the nation's medical supply chains amid the global Coronavirus outbreak: (thread) ""Too many of our vital antibiotics & other drugs are made in China & facing shortfalls."""
_1233123786498572288,_4575191953,"Antibiotics don't work on viruses. And CoVid19 is an emergent strain of the virus, and smart people all over the world are working on a vaccine right now. …"
_1233192493526724608,_1140183523,Scientists claim antibiotics already on market can treat #coronavirus via
_1233193218331688960,_233360799,Scientists claim antibiotics already on market can treat coronavirus via
_1233262939966201856,_903313767596822528,CONSERVATIVE UK DAILY MAIL reports: Scientists claim antibiotics already on market can treat coronavirus …
_1233364955283566594,_15438913,Scientists claim antibiotics already on the market could treat coronavirus
_1233412960502059011,_1216643226,"COVID-19 outbreak hits drug factories, pharmaceutical shortage now inevitable – #COVID2019 #antibiotics #VitaminC …"
_1233421198249218048,_200163987,"EXCELLENT info ! As MD, I say REAL THREAT of #coronavirus: US dependence on #CHINA for over 90% of #antibiotics + most generic medicines mfg outsourced to #communist country #China years ago, accelerated under #Obama policies. is RIGHT! #MAGA …"
_1233484771679965184,_15438913,Scientists claim antibiotics already on market can treat coronavirus
_1233577906170974208,_15438913,Scientists claim antibiotics already on the market can treat coronavirus
_1233597906021683202,_15438913,Scientists claim antibiotics already on market can treat coronavirus
_1233673857849950208,_121962354,"Masks, antibiotics and hand sanitisers: Amid coronavirus, Australia's secret medical stockpile is now open … via"
_1234095329433264130,_59755457,"This is serious. We have too many crooked people in this world. #CoronaVirus: Antibiotics, fever relievers helping passengers beat checks at airports. #CoronaVirusUpdate #COVID19"
_1234123774578044928,_25985333,"Coronavirus: Antibiotics, fever relievers helping passengers beat checks at airports"
_1234164064537866241,_17983062,"I was feeling pretty good until someone pointed out that covid19 is as deadly as the Spanish flu, & that is with the full force of modern medicine. So, with IV hydration, ventilators to breathe, and antibiotics / antiviral to prevent 2nd infection people are dying."
_1234433240032739328,_1540529606,"Don't go #vegan for them; do it for you‍️ The #meat industry causes #ClimateCrisis, mass #wildlife #extinction & undermines #antibiotics. #CoronaVirus jumped species in a '#food' market to get to us Go vegan to live longer!"
_1234472248658026497,_57411869,"UK CF Medical Association's Prof. Southern in with coronavirus advice for people with CF: ""we are telling our families to follow the official advice, to be prepared, have extra antibiotics in the house and contact their teams with any concerns.” …"
